"lab","polarity","rt_local","rt_aligned"
"afekta","neg",54.1059789789785,49.8608690808157
"afekta","neg",54.6472922922918,50.407180056912
"afekta","neg",55.1886056056051,50.9554103402982
"afekta","neg",55.7299189189184,51.5055326603081
"afekta","neg",56.2712322322317,52.0575197462758
"afekta","neg",56.812545545545,52.6113443275354
"afekta","neg",57.3538588588583,53.1669791334207
"afekta","neg",57.8951721721716,53.7243968932659
"afekta","neg",58.4364854854849,54.2835703364049
"afekta","neg",58.9777987987982,54.8444721921718
"afekta","neg",59.5191121121115,55.4070751899005
"afekta","neg",60.0604254254248,55.971352058925
"afekta","neg",60.6017387387381,56.5372755285794
"afekta","neg",61.1430520520514,57.1048183281977
"afekta","neg",61.6843653653647,57.6739531871138
"afekta","neg",62.225678678678,58.2446528346618
"afekta","neg",62.7669919919913,58.8168900001756
"afekta","neg",63.3083053053046,59.3906374129894
"afekta","neg",63.8496186186179,59.965867802437
"afekta","neg",64.3909319319312,60.5425538978525
"afekta","neg",64.9322452452445,61.1206684285699
"afekta","neg",65.4735585585578,61.7001841239232
"afekta","neg",66.0148718718711,62.2810737132464
"afekta","neg",66.5561851851844,62.8633099258735
"afekta","neg",67.0974984984977,63.4468654911386
"afekta","neg",67.6388118118111,64.0317131383755
"afekta","neg",68.1801251251243,64.6178255969184
"afekta","neg",68.7214384384376,65.2051755961012
"afekta","neg",69.262751751751,65.793735865258
"afekta","neg",69.8040650650643,66.3834791337227
"afekta","neg",70.3453783783776,66.9743781308294
"afekta","neg",70.8866916916909,67.566405585912
"afekta","neg",71.4280050050042,68.1595342283045
"afekta","neg",71.9693183183175,68.7537367873411
"afekta","neg",72.5106316316308,69.3489859923556
"afekta","neg",73.0519449449441,69.945254572682
"afekta","neg",73.5932582582574,70.5425152576545
"afekta","neg",74.1345715715707,71.140740776607
"afekta","neg",74.675884884884,71.7399038588734
"afekta","neg",75.2171981981973,72.3399772337879
"afekta","neg",75.7585115115106,72.9409336306843
"afekta","neg",76.2998248248239,73.5427457788968
"afekta","neg",76.8411381381372,74.1453864077593
"afekta","neg",77.3824514514505,74.7488282466058
"afekta","neg",77.9237647647638,75.3530440247703
"afekta","neg",78.4650780780771,75.9580064715869
"afekta","neg",79.0063913913904,76.5636883163895
"afekta","neg",79.5477047047037,77.1700622885121
"afekta","neg",80.089018018017,77.7771011172888
"afekta","neg",80.6303313313303,78.3847775320535
"afekta","neg",81.1716446446436,78.9930642621403
"afekta","neg",81.7129579579569,79.6019340368832
"afekta","neg",82.2542712712702,80.2113595856161
"afekta","neg",82.7955845845835,80.8213136376731
"afekta","neg",83.3368978978968,81.4317689223882
"afekta","neg",83.8782112112101,82.0426981690954
"afekta","neg",84.4195245245234,82.6540741071286
"afekta","neg",84.9608378378367,83.265869465822
"afekta","neg",85.5021511511501,83.8780569745095
"afekta","neg",86.0434644644634,84.490609362525
"afekta","neg",86.5847777777767,85.1034993592027
"afekta","neg",87.12609109109,85.7166996938765
"afekta","neg",87.6674044044033,86.3301830958805
"afekta","neg",88.2087177177166,86.9439222945485
"afekta","neg",88.7500310310299,87.5578900192147
"afekta","neg",89.2913443443432,88.1720589992131
"afekta","neg",89.8326576576565,88.7864019638776
"afekta","neg",90.3739709709698,89.4008916425422
"afekta","neg",90.9152842842831,90.015500764541
"afekta","neg",91.4565975975964,90.6302020592079
"afekta","neg",91.9979109109097,91.2449682558771
"afekta","neg",92.539224224223,91.8597720838824
"afekta","neg",93.0805375375363,92.4745862725578
"afekta","neg",93.6218508508496,93.0893835512375
"afekta","neg",94.1631641641629,93.7041366492554
"afekta","neg",94.7044774774762,94.3188182959454
"afekta","neg",95.2457907907895,94.9334012206416
"afekta","neg",95.7871041041028,95.5478581526781
"afekta","neg",96.3284174174161,96.1621618213888
"afekta","neg",96.8697307307294,96.7762849561077
"afekta","neg",97.4110440440427,97.3902002861688
"afekta","neg",97.952357357356,98.0038805409061
"afekta","neg",98.4936706706693,98.6172984496537
"afekta","neg",99.0349839839826,99.2304267417455
"afekta","neg",99.576297297296,99.8432381465156
"afekta","neg",100.117610610609,100.455705393298
"afekta","neg",100.658923923923,101.067801211426
"afekta","neg",101.200237237236,101.679498330235
"afekta","neg",101.741550550549,102.290769479058
"afekta","neg",102.282863863862,102.90158738723
"afekta","neg",102.824177177176,103.511924784083
"afekta","neg",103.365490490489,104.121754398953
"afekta","neg",103.906803803802,104.731048961173
"afekta","neg",104.448117117116,105.339781200078
"afekta","neg",104.989430430429,105.947923845001
"afekta","neg",105.530743743742,106.555449625276
"afekta","neg",106.072057057056,107.162331270237
"afekta","neg",106.613370370369,107.768541509219
"afekta","neg",107.154683683682,108.374053071555
"afekta","neg",107.695996996995,108.978838686579
"afekta","neg",108.237310310309,109.582871083626
"afekta","neg",108.778623623622,110.186122992029
"afekta","neg",109.319936936935,110.788567141123
"afekta","neg",109.861250250249,111.39017626024
"afekta","neg",110.402563563562,111.990923078716
"afekta","neg",110.943876876875,112.590780325885
"afekta","neg",111.485190190189,113.18972073108
"afekta","neg",112.026503503502,113.787717023635
"afekta","neg",112.567816816815,114.384741932884
"afekta","neg",113.109130130129,114.980768188162
"afekta","neg",113.650443443442,115.575768518803
"afekta","neg",114.191756756755,116.169715654139
"afekta","neg",114.733070070068,116.762582323507
"afekta","neg",115.274383383382,117.354341256238
"afekta","neg",115.815696696695,117.944965181668
"afekta","neg",116.357010010008,118.53442682913
"afekta","neg",116.898323323322,119.122698927959
"afekta","neg",117.439636636635,119.709754207488
