"mixture","lab","polarity","xcms_fts","compound","inchikey_2d","rt_sec","ionMass","adduct","cosmic"
"1.2","cembio","pos","93","L-homocitrulline","XIGSAGMEBXLVJJ",26.51299999998,212.100494384766,"[M + Na]+",0.919029797682999
"1.2","cembio","pos","98","cytidine 5'-monophosphate","IERHLVCPSMICTF",32.20900000002,324.059600830078,"[M + H]+",0.853490339055238
"1.2","cembio","pos","98","N(4)-acetylcytidine","NIDVTARKFBZMOT",32.20900000002,324.059600830078,"[M + H]+",0.853490339055238
"1.2","cembio","pos","99","L-homocitrulline","XIGSAGMEBXLVJJ",33.20500000002,190.118698120117,"[M + H]+",0.576186835866068
"1.2","cembio","pos","100","L-alpha-aminobutyric acid","QWCKQJZIFLGMSD",34.20100000002,104.07080078125,"[M + H]+",0.357101671669069
"1.2","cembio","pos","103","Acetylcarnosine","BKAYIFDRRZZKNF",37.18999999998,269.124694824219,"[M + H]+",0.972240921142622
"1.2","cembio","pos","105","N-acetyl-L-glutamine","KSMRODHGGIIXDV",39.183,189.08740234375,"[M + H]+",0.967012938012665
"1.2","cembio","pos","107","N-carbamoylglutamic acid","LCQLHJZYVOQKHU",41.17600000002,191.066802978516,"[M + H]+",0.416225830305017
"1.2","cembio","pos","108","N-acetyl-L-aspartic acid","OTCCIMWXFLJLIA",42.17200000002,176.055603027344,"[M + H]+",0.452144014374721
"1.2","cembio","pos","109","(2R)-2-acetamidopropanoic acid","KTHDTJVBEPMMGL",43.16800000002,132.065795898438,"[M + H]+",0.935182944774995
"1.2","cembio","pos","116","N-carbamoylglutamic acid","LCQLHJZYVOQKHU",50.14300000002,213.048599243164,"[M + H]+",0.028393309147548
"1.2","cembio","pos","120","N-acetyl-L-glutamine","KSMRODHGGIIXDV",54.12799999998,211.069305419922,"[M + Na]+",0.63154529746805
"1.2","cembio","pos","128","L-homocitrulline","XIGSAGMEBXLVJJ",62.81200000002,190.118698120117,"[M + H]+",0.134309415374453
"1.2","cembio","pos","129","L-alpha-aminobutyric acid","QWCKQJZIFLGMSD",63.80800000002,104.07080078125,"[M + H]+",0.258693868543104
"1.2","cembio","pos","132","Acetylcarnosine","BKAYIFDRRZZKNF",66.79699999998,269.124694824219,"[M + H]+",0.845598589161334
"1.2","cembio","pos","133","IMP","GRSZFWQUAKGDAV",67.79299999998,349.054901123047,"[M + H]+",0.897867063761589
"1.2","cembio","pos","134","N-acetyl-L-glutamine","KSMRODHGGIIXDV",68.79,189.08740234375,"[M + Na]+",0.050993916656074
"1.2","cembio","pos","136","N-carbamoylglutamic acid","LCQLHJZYVOQKHU",70.782,191.066802978516,"[M + H]+",0.310463670279206
"1.2","cembio","pos","139","kynurenine","YGPSJZOEDVAXAB",73.77100000002,209.092407226563,"[M + H]+",0.95928001448533
"1.2","cembio","pos","140","N(4)-acetylcytidine","NIDVTARKFBZMOT",74.76799999998,286.103607177734,"[M + H]+",0.969838665497476
"1.2","cembio","pos","142","N(4)-acetylcytidine","NIDVTARKFBZMOT",76.75999999998,308.085388183594,"[M + Na]+",0.0169909731304695
"1.2","cembio","pos","146","N-carbamoylglutamic acid","LCQLHJZYVOQKHU",80.745,213.048599243164,"[M + Na]+",0.212597899109729
"1.2","cembio","pos","157","(2R)-2-acetamidopropanoic acid","KTHDTJVBEPMMGL",92.41900000002,132.065795898438,"[M + H]+",0.0832702786392142
"1.2","cembio","pos","159","N(4)-acetylcytidine","NIDVTARKFBZMOT",94.41199999998,286.103607177734,"[M + H]+",0.204387137619424
"1.2","cembio","pos","160","L-tryptophan","QIVBCDIJIAJPQS",95.40799999998,205.097396850586,"[M + H]+",0.751452389350083
"1.2","cembio","pos","167","N(4)-acetylcytidine","NIDVTARKFBZMOT",103.09600000002,286.103607177734,"[M + H]+",0.869601950020736
"1.2","cembio","pos","168","L-tryptophan","QIVBCDIJIAJPQS",104.09299999998,205.097396850586,"[M + H]+",0.991783950982774
"1.2","cembio","pos","174","N(4)-acetylcytidine","NIDVTARKFBZMOT",110.784,286.103607177734,"[M + H]+",0.831858954478494
"1.2","cembio","pos","175","L-tryptophan","QIVBCDIJIAJPQS",111.78,205.097396850586,"[M + H]+",0.997125885699061
"1.2","cembio","pos","181","N(4)-acetylcytidine","NIDVTARKFBZMOT",118.47100000002,286.103607177734,"[M + H]+",0.816567205614072
"1.2","cembio","pos","182","L-tryptophan","QIVBCDIJIAJPQS",119.46799999998,205.097396850586,"[M + H]+",0.993578318702136
"1.2","cembio","pos","186","(2R)-2-acetamidopropanoic acid","KTHDTJVBEPMMGL",124.16599999998,132.065795898438,"[M + H]+",0.455206341952756
"1.2","cembio","pos","189","L-tryptophan","QIVBCDIJIAJPQS",127.155,205.097396850586,"[M + H]+",0.99472557099913
"1.2","cembio","pos","190","folic acid","OVBPIULPVIDEAO",128.151,442.147003173828,"[M + H]+",0.010099862179382
"1.2","cembio","pos","194","kynurenine","YGPSJZOEDVAXAB",132.85000000002,209.092407226563,"[M + H]+",0.874406327799939
"1.2","cembio","pos","200","L-tryptophan","QIVBCDIJIAJPQS",139.54099999998,205.097396850586,"[M + H]+",0.990594352556169
"1.2","cembio","pos","203","folic acid","OVBPIULPVIDEAO",142.53,464.127807617188,"[M + Na]+",0.0573432140121633
"1.2","cembio","pos","204","kynurenine","YGPSJZOEDVAXAB",144.23899999998,209.092407226563,"[M + H]+",0.211052427502756
"1.2","cembio","pos","205","L-tryptophan","QIVBCDIJIAJPQS",145.23499999998,205.097396850586,"[M + H]+",0.992941150327859
"1.2","cembio","pos","206","folic acid","OVBPIULPVIDEAO",146.232,442.147003173828,"[M + K]+",0.169017547595728
"1.2","cembio","pos","209","L-tryptophan","QIVBCDIJIAJPQS",149.93500000002,205.097396850586,"[M + H]+",0.985304825677338
"1.2","cembio","pos","212","folic acid","OVBPIULPVIDEAO",152.92399999998,464.127807617188,"[M + K]+",0.184995837277684
"1.2","cembio","pos","213","L-tryptophan","QIVBCDIJIAJPQS",154.63300000002,205.097396850586,"[M + H]+",0.9942127471929
"1.2","cembio","pos","217","L-tryptophan","QIVBCDIJIAJPQS",159.33199999998,205.097396850586,"[M + H]+",0.984204014138351
"1.2","cembio","pos","218","folic acid","OVBPIULPVIDEAO",160.32799999998,442.147003173828,"[M + K]+",0.0529392202194863
"1.2","cembio","pos","221","L-tryptophan","QIVBCDIJIAJPQS",164.031,205.097396850586,"[M + H]+",0.989250206118781
"1.2","cembio","pos","225","L-tryptophan","QIVBCDIJIAJPQS",168.73000000002,205.097396850586,"[M + H]+",0.986057309289039
"1.2","cembio","pos","230","folic acid","OVBPIULPVIDEAO",174.42400000002,442.147003173828,"[M + H]+",0.929525297551426
"1.2","cembio","pos","233","L-tryptophan","QIVBCDIJIAJPQS",178.12600000002,205.097396850586,"[M + H]+",0.924505383350962
"1.2","cembio","pos","234","folic acid","OVBPIULPVIDEAO",179.12299999998,442.147003173828,"[M + H]+",0.704607816603681
"1.2","cembio","pos","236","folic acid","OVBPIULPVIDEAO",181.11499999998,464.127807617188,"[M + K]+",0.0863435003774132
"1.2","cembio","pos","239","folic acid","OVBPIULPVIDEAO",185.53099999998,442.147003173828,"[M + H]+",0.724091202553374
"1.2","cembio","pos","241","folic acid","OVBPIULPVIDEAO",188.23600000002,442.147003173828,"[M + H]+",0.885096519765099
"1.2","cembio","pos","243","folic acid","OVBPIULPVIDEAO",190.94299999998,442.147003173828,"[M + H]+",0.57385205596016
"1.2","cembio","pos","244","folic acid","OVBPIULPVIDEAO",191.93899999998,464.127807617188,"[M + Na]+",0.0513014334987215
"1.2","cembio","pos","247","folic acid","OVBPIULPVIDEAO",196.35400000002,442.147003173828,"[M + H]+",0.786378343564843
"1.2","cembio","pos","262","folic acid","OVBPIULPVIDEAO",216.29200000002,464.127807617188,"[M + Na]+",0.0181049022342451
"1.2","cembio","pos","263","folic acid","OVBPIULPVIDEAO",218.001,442.147003173828,"[M + H]+",0.459106454320384
"1.2","cembio","pos","266","folic acid","OVBPIULPVIDEAO",221.70400000002,464.127807617188,"[M + Na]+",0.0544202649154164
"1.2","cembio","pos","273","folic acid","OVBPIULPVIDEAO",231.53200000002,442.147003173828,"[M + H]+",0.252901145100882
"1.2","cembio","pos","277","folic acid","OVBPIULPVIDEAO",236.94499999998,442.147003173828,"[M + H]+",0.0600557941253821
