"chrom_peak_id","lab","consensus_id","sample","mzMin","mzMax","rtMin","rtMax","mz","polarity","mixture","into","intb","maxo"
"CP167792","afekta",2598,9,326.357443255647,326.398970485627,457.916262448899,470.308077373256,326.377985485316,1,"2_2",141096.979190913,139271.166968683,38877.89453125
"CP168175","afekta",2555,9,438.357903836195,438.400006574459,540.559396787021,551.143286544978,438.378941962258,1,"2_2",113461.052209329,107241.403011659,27304.984375
"CP168223","afekta",2557,9,452.374315658617,452.415261203882,545.946150959356,559.522126141064,452.394730590937,1,"2_2",416549.389959993,406074.700916373,94264.0625
"CP168254","afekta",2558,9,468.367940669761,468.410246013199,504.641117982366,514.029789373787,468.389089666952,1,"2_2",105844.730210138,101159.055492883,36918.11328125
"CP168314","afekta",2559,9,482.38454071141,482.425912814419,516.614794640591,541.566832639553,482.405000261633,1,"2_2",546983.931686885,513712.685911492,100103.21875
"CP168379","afekta",2563,9,512.39452703643,512.436393684765,503.443305137898,515.825587015786,512.415498551647,1,"2_2",107792.340171521,91371.8766275854,33551.359375
"CP168408","afekta",2564,9,526.410735505903,526.451358837762,519.607595323695,540.369569233461,526.431051899346,1,"2_2",359431.498134342,324839.652267494,67370.1015625
"CP168425","afekta",2565,9,540.426370547359,540.468204920262,543.552738620118,555.931660239929,540.447559521503,1,"2_2",200057.840380369,192069.173489803,48171.921875
"CP168467","afekta",2566,9,556.418960247167,556.466312021754,499.850130172348,515.22725003802,556.442148741307,1,"2_2",101518.698952224,99028.4326536473,30244.0546875
"CP168499","afekta",2569,9,584.450358927977,584.495059493244,565.098445450752,575.68168193472,584.47154395348,1,"2_2",34641.2426657916,34634.0612112462,7360.8603515625
"CP168505","icl",2581,9,84.0242657470703,84.0659159437821,27.1800243867139,39.612132454295,84.0450669024761,1,"2_2",23116.7007956998,22758.650650588,6611.84765625
"CP168516","icl",2568,9,81.0240902709961,81.0867572021484,17.5965867076501,25.9365868602101,81.0451450087947,1,"2_2",83450.3978591093,83066.1198993181,53785.7482910156
