"mixture","lab","polarity","compound","adduct","source","areaUnderTic","xicFwhm","maxIntensity","apex_rt","snr","baseline","noise","n_scans_in_shape","prior_kind","detection"
"2.2","hmgu","pos","2-oxobutanoic acid","[M + H]+","own",348.536188892003,2.70699999996,117.236590691696,100.671,106.79568891642,10.4409017752757,1,5,"consensus","detected"
"2.2","hmgu","pos","2-oxobutanoic acid","[M + K]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.2","hmgu","pos","3,3',5-triiodo-L-thyronine","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.2","hmgu","pos","3-iodo-L-tyrosine","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.2","hmgu","pos","5-methoxysalicylic acid","[M + H]+","consensus",30.8867399993343,1.34400000000002,9.45700159483067,246.36100000002,6.49573553964728,2.96126605518339,1,5,"consensus","detected"
"2.2","hmgu","pos","5-oxo-L-proline","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.2","hmgu","pos","L-methionine","[M + H]+","consensus",137.907865199714,2.91100000002,40.4094398370944,31.05799999998,37.304480808182,3.10495902891239,1,2,"consensus","detected"
"2.2","hmgu","pos","N,N-dimethyl-beta-alanine","[M + H]+","own",NA,NA,NA,192.76999999998,3.9119974830196,7.86398180061531,3.84699562099774,3,"consensus","below_detection"
"2.2","hmgu","pos","N,N-dimethyl-beta-alanine","[M + Na]+","consensus",46.0492310619714,NA,12.1733042675019,193.43899999998,9.12996784721827,3.04333642028359,1,3,"consensus","detected"
"2.2","hmgu","pos","N-acetyl-L-phenylalanine","[M + H]+","consensus",NA,NA,NA,251.283,9.37972371679916,3.12657058765217,1,1,"consensus","below_detection"
"2.2","hmgu","pos","N-acetyl-L-phenylalanine","[M + Na]+","consensus",330.571628572686,1.43099999999998,214.637067718977,247.70500000002,121.056139633971,4.62485916651622,1.73483318720934,3,"consensus","detected"
"2.2","hmgu","pos","N-acetyl-L-proline","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.2","hmgu","pos","alloxanthine","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.2","hmgu","pos","biotin","[M + H]+","consensus",NA,NA,NA,170.79100000002,3.40204669537191,4.60088225531763,2.23142210816923,4,"consensus","below_detection"
